RBD,NOM_RBD,COD_REG_RBD,NOM_COM_RBD,RURAL_RBD,LATITUD,LONGITUD,MAT_TOTAL,ESTADO_ESTAB,cap_area_m2,cap_personas,cap_j,f_j,o_j,req_j
14866,COLEGIO ALTAZOR,5,CONCÓN,0,"-32,924099","-71,519539",1141,1,6245,1159,1159,52155000,6490400,7
14605,COLEGIO VILLA ACONCAGUA,5,CONCÓN,0,"-32,935699","-71,530746",1060,1,5840,1084,1084,48780000,6070400,7
1757,COLEGIO ACONCAGUA,5,QUILPUÉ,0,"-33,04055","-71,475838",2339,1,12235,2272,2272,102240000,12723200,14
14359,COLEGIO LOS REYES,5,QUILPUÉ,0,"-33,046711","-71,415283",2092,1,11000,2042,2042,91890000,11435200,13
1590,COLEGIO SALESIANO VALPARAISO,5,VALPARAÍSO,0,"-33,04969","-71,601662",1591,1,8495,1577,1577,70965000,8831200,10
1515,LICEO EDUARDO DE LA BARRA,5,VALPARAÍSO,0,"-33,049671","-71,613792",1276,1,6920,1285,1285,57825000,7196000,8
1977,COLEGIO NACIONAL,5,VILLA ALEMANA,0,"-33,045071","-71,38047",1809,1,9585,1780,1780,80100000,9968000,11
14363,COLEGIO HISPANO,5,VILLA ALEMANA,0,"-33,043304","-71,368668",1734,1,9210,1710,1710,76950000,9576000,11
1735,LICEO PARROQUIAL SAN ANTONIO,5,VIÑA DEL MAR,0,"-33,013119","-71,542717",1772,1,9400,1745,1745,78525000,9772000,11
1839,COLEGIO ALEMAN DE VALPARAISO,5,VIÑA DEL MAR,0,"-33,036098","-71,52785",1371,1,7395,1373,1373,61785000,7688800,9
