i,k,A_ik
1,1,0
1,2,0
1,3,0
1,4,0
1,5,0
1,6,1
1,7,0
1,8,1
1,9,0
1,10,0
1,11,1
1,12,1
1,13,1
1,14,1
1,15,0
1,16,1
1,17,0
1,18,1
1,19,0
1,20,1
1,21,0
1,22,0
1,23,0
1,24,0
1,25,0
1,26,0
1,27,0
1,28,0
1,29,0
1,30,0
1,31,0
1,32,0
2,1,0
2,2,0
2,3,0
2,4,1
2,5,1
2,6,1
2,7,1
2,8,1
2,9,1
2,10,1
2,11,1
2,12,1
2,13,1
2,14,1
2,15,1
2,16,1
2,17,1
2,18,1
2,19,1
2,20,1
2,21,1
2,22,0
2,23,0
2,24,0
2,25,0
2,26,0
2,27,0
2,28,0
2,29,0
2,30,0
2,31,0
2,32,0
3,1,0
3,2,0
3,3,0
3,4,1
3,5,1
3,6,1
3,7,1
3,8,1
3,9,1
3,10,0
3,11,1
3,12,1
3,13,1
3,14,1
3,15,1
3,16,1
3,17,0
3,18,1
3,19,0
3,20,1
3,21,0
3,22,0
3,23,0
3,24,0
3,25,0
3,26,0
3,27,0
3,28,0
3,29,0
3,30,0
3,31,0
3,32,0
4,1,0
4,2,0
4,3,0
4,4,0
4,5,0
4,6,1
4,7,0
4,8,1
4,9,0
4,10,1
4,11,0
4,12,0
4,13,0
4,14,0
4,15,0
4,16,0
4,17,1
4,18,0
4,19,1
4,20,0
4,21,0
4,22,0
4,23,0
4,24,0
4,25,0
4,26,0
4,27,0
4,28,0
4,29,0
4,30,0
4,31,0
4,32,0
5,1,0
5,2,0
5,3,0
5,4,1
5,5,1
5,6,1
5,7,1
5,8,1
5,9,1
5,10,0
5,11,1
5,12,1
5,13,1
5,14,1
5,15,1
5,16,1
5,17,0
5,18,1
5,19,0
5,20,1
5,21,0
5,22,0
5,23,0
5,24,0
5,25,0
5,26,0
5,27,0
5,28,0
5,29,0
5,30,0
5,31,0
5,32,0
