i,g,D_i_g_max
1,leve,19
1,moderado,7
2,leve,23
2,moderado,8
3,leve,5
3,moderado,2
4,leve,13
4,moderado,4
5,leve,22
5,moderado,8
6,leve,4
6,moderado,1
7,leve,26
7,moderado,9
8,leve,17
8,moderado,6
9,leve,13
9,moderado,4
10,leve,5
10,moderado,2
11,leve,7
11,moderado,3
12,leve,53
12,moderado,19
13,leve,4
13,moderado,1
14,leve,27
14,moderado,9
15,leve,48
15,moderado,17
16,leve,16
16,moderado,6
17,leve,66
17,moderado,23
18,leve,20
18,moderado,7
19,leve,17
19,moderado,6
20,leve,4
20,moderado,1
21,leve,5
21,moderado,2
22,leve,11
22,moderado,4
23,leve,18
23,moderado,6
24,leve,11
24,moderado,4
25,leve,91
25,moderado,32
26,leve,158
26,moderado,56
27,leve,23
27,moderado,8
28,leve,4
28,moderado,1
29,leve,87
29,moderado,31
30,leve,4
30,moderado,1
31,leve,78
31,moderado,27
32,leve,5
32,moderado,2
33,leve,6
33,moderado,2
34,leve,263
34,moderado,92
35,leve,121
35,moderado,42
36,leve,309
36,moderado,109
37,leve,7
37,moderado,3
