id,rbd,nombre,comuna,lat,lon,matricula,cap_j,f_j,o_j,req_j
1,2084,COLEGIO CARLOS ALESSANDRI ALTAMIRANO,Algarrobo,-33.37328,-71.665398,1262,757,220,25,3
2,2090,COLEGIO TERESA DE LOS ANDES-ALGARROBO,Algarrobo,-33.3713,-71.664757,555,333,180,20,2
3,40370,COLEGIO PUKALAN DE ALGARROBO,Algarrobo,-33.38176,-71.664909,473,284,180,20,2
4,14395,COLEGIO EDUPAC,Cabildo,-32.429741,-71.067749,595,357,180,20,2
5,1167,LICEO Y ESCUELA MUNICIPAL,Cabildo,-32.42717,-71.066162,587,352,180,20,2
6,12336,LICEO BICENTENARIO TECNICO PROFESIONAL DE MINERIA,Cabildo,-32.43322,-71.07814,472,283,180,20,2
7,14414,COLEGIO EDUCENTER,Calle Larga,-32.85247,-70.606506,599,359,180,20,2
8,14217,SUN VALLEY COLLEGE,Calle Larga,-32.860901,-70.58512,500,300,180,20,2
9,1255,INSTITUTO AGRICOLA PASCUAL BABURIZZA,Calle Larga,-32.878819,-70.588898,425,255,180,20,2
10,14523,LIONS SCHOOL,Cartagena,-33.549931,-71.581299,1306,784,220,25,3
11,2065,ESCUELA PRESIDENTE AGUIRRE CERDA,Cartagena,-33.548481,-71.595627,805,483,180,20,2
12,2066,LICEO EUGENIA SUBERCASEAUX,Cartagena,-33.52433,-71.598213,782,469,180,20,2
13,14514,COLEGIO EL ARRAYAN,Casablanca,-33.319,-71.404167,1403,842,220,25,3
14,1996,LICEO MANUEL DE SALAS,Casablanca,-33.318668,-71.41172,616,370,180,20,2
15,14381,COLEGIO EL VALLE DE CASABLANCA,Casablanca,-33.321972,-71.421448,560,336,180,20,2
16,1354,LICEO BICENTENARIO POLIVALENTE FERNANDO SILVA CASTELLÓN,Catemu,-32.775108,-70.96447,454,272,180,20,2
17,1361,COLEGIO PARTICULAR CALIFORNIA,Catemu,-32.779339,-70.962486,440,264,180,20,2
18,1352,ESCUELA MARIA TERESA DEL CANTO,Catemu,-32.7785,-70.963821,376,226,180,20,2
19,14866,COLEGIO ALTAZOR,Concon,-32.924099,-71.519539,1141,685,180,20,2
