i,j,minutos
1,1,1
1,2,1
1,3,3
1,4,385
1,5,386
1,6,383
1,7,371
1,8,375
1,9,371
1,10,68
1,11,66
1,12,58
1,13,81
1,14,79
1,15,76
1,16,302
1,17,302
1,18,302
1,19,168
1,20,163
1,21,162
1,22,13
1,23,11
1,24,24
1,25,30
1,26,45
1,27,260
1,28,259
1,29,11897
1,30,11897
1,31,11895
1,32,250
1,33,252
1,34,252
1,35,230
1,36,230
1,37,355
1,38,358
1,39,358
1,40,183
1,41,183
1,42,184
1,43,290
1,44,287
1,45,287
1,46,373
1,47,378
1,48,375
1,49,274
1,50,282
1,51,271
1,52,199
1,53,205
1,54,357
1,55,320
1,56,462
1,57,462
1,58,245
1,59,234
1,60,391
1,61,389
1,62,394
1,63,217
1,64,216
1,65,218
1,66,133
1,67,140
1,68,134
1,69,216
1,70,217
1,71,219
1,72,353
1,73,352
1,74,90
1,75,87
1,76,87
1,77,388
1,78,387
1,79,368
1,80,363
1,81,361
1,82,379
1,83,380
1,84,378
1,85,95
1,86,95
1,87,109
1,88,119
1,89,118
1,90,118
1,91,146
1,92,149
1,93,143
1,94,135
1,95,129
1,96,145
1,97,301
1,98,302
2,1,385
2,2,384
2,3,387
2,4,1
2,5,1
2,6,3
2,7,207
2,8,214
2,9,218
2,10,432
2,11,433
2,12,425
2,13,336
2,14,336
2,15,339
2,16,128
2,17,130
2,18,130
2,19,224
2,20,230
2,21,231
2,22,398
2,23,396
2,24,408
2,25,411
2,26,420
2,27,135
2,28,136
2,29,12078
2,30,12078
2,31,12077
2,32,138
2,33,137
2,34,136
2,35,159
2,36,159
2,37,56
2,38,50
2,39,50
2,40,211
2,41,210
2,42,208
2,43,151
2,44,153
2,45,152
2,46,199
2,47,204
2,48,204
2,49,112
2,50,104
2,51,115
2,52,207
2,53,204
2,54,154
2,55,116
2,56,77
2,57,77
2,58,150
2,59,169
2,60,129
2,61,131
2,62,129
2,63,172
2,64,172
2,65,171
2,66,252
2,67,246
2,68,251
2,69,191
2,70,189
2,71,188
2,72,185
2,73,188
2,74,457
2,75,454
2,76,456
2,77,199
2,78,200
2,79,161
2,80,155
2,81,153
2,82,170
2,83,169
2,84,170
2,85,464
2,86,466
2,87,475
2,88,275
2,89,278
2,90,276
2,91,241
2,92,239
2,93,243
2,94,254
2,95,259
2,96,242
2,97,126
2,98,126
3,1,371
3,2,370
3,3,372
3,4,210
3,5,211
3,6,211
3,7,3
3,8,4
3,9,8
3,10,386
3,11,389
3,12,385
3,13,294
3,14,296
3,15,299
3,16,115
3,17,114
3,18,114
3,19,279
3,20,283
3,21,283
3,22,384
3,23,381
3,24,387
3,25,386
3,26,386
3,27,167
3,28,166
3,29,12218
3,30,12218
3,31,12217
3,32,187
3,33,184
3,34,184
3,35,191
3,36,192
3,37,247
3,38,242
3,39,242
3,40,207
3,41,208
3,42,209
3,43,106
3,44,108
3,45,108
3,46,12
3,47,11
3,48,8
3,49,190
3,50,195
3,51,190
3,52,184
3,53,176
3,54,57
3,55,284
3,56,241
3,57,241
3,58,252
3,59,272
3,60,90
3,61,87
3,62,91
3,63,196
3,64,198
3,65,198
3,66,273
3,67,256
3,68,264
3,69,284
3,70,283
3,71,284
3,72,29
3,73,27
3,74,407
3,75,404
3,76,408
3,77,23
3,78,22
3,79,50
3,80,56
3,81,57
3,82,44
3,83,45
3,84,43
3,85,414
3,86,416
3,87,420
3,88,310
3,89,314
3,90,311
3,91,245
3,92,242
3,93,250
3,94,290
3,95,288
3,96,274
3,97,281
3,98,283
4,1,64
4,2,65
4,3,61
