i,k,minutos
1,1,119
1,2,121
1,3,130
2,1,275
2,2,276
2,3,260
3,1,311
3,2,315
3,3,295
4,1,178
4,2,181
4,3,187
5,1,114
5,2,119
5,3,115
6,1,219
6,2,222
6,3,202
7,1,48
7,2,48
7,3,34
8,1,133
8,2,135
8,3,144
9,1,153
9,2,155
9,3,163
10,1,165
10,2,168
10,3,148
11,1,11913
11,2,11909
11,3,11928
12,1,154
12,2,156
12,3,137
13,1,133
13,2,136
13,3,117
14,1,242
14,2,242
14,3,228
15,1,104
15,2,108
15,3,88
16,1,211
16,2,215
16,3,195
17,1,313
17,2,317
17,3,297
18,1,170
18,2,172
18,3,154
19,1,130
19,2,135
19,3,115
20,1,282
20,2,285
20,3,265
21,1,201
21,2,200
21,3,190
22,1,352
22,2,353
22,3,337
23,1,122
23,2,122
23,3,110
24,1,307
24,2,310
24,3,290
25,1,124
25,2,126
25,3,107
26,1,52
26,2,56
26,3,38
27,1,97
27,2,96
27,3,87
28,1,287
28,2,291
28,3,271
29,1,200
29,2,203
29,3,209
30,1,323
30,2,326
30,3,306
31,1,289
31,2,292
31,3,272
32,1,307
32,2,310
32,3,290
33,1,214
33,2,217
33,3,223
34,1,4
34,2,7
34,3,20
35,1,69
35,2,74
35,3,55
36,1,25
36,2,28
36,3,8
37,1,183
37,2,182
37,3,172
