i,t,g,D_i_t_g
1,1,leve,13
1,1,moderado,4
1,2,leve,10
1,2,moderado,4
1,3,leve,7
1,3,moderado,3
1,4,leve,6
1,4,moderado,2
1,5,leve,5
1,5,moderado,2
1,6,leve,5
1,6,moderado,2
1,7,leve,4
1,7,moderado,1
2,1,leve,4
2,1,moderado,1
2,2,leve,4
2,2,moderado,1
2,3,leve,3
2,3,moderado,1
2,4,leve,2
2,4,moderado,1
2,5,leve,2
2,5,moderado,1
2,6,leve,2
2,6,moderado,1
2,7,leve,1
2,7,moderado,0
3,1,leve,26
3,1,moderado,9
3,2,leve,21
3,2,moderado,7
3,3,leve,16
3,3,moderado,5
3,4,leve,13
3,4,moderado,4
3,5,leve,10
3,5,moderado,4
3,6,leve,10
3,6,moderado,4
3,7,leve,8
3,7,moderado,3
4,1,leve,20
4,1,moderado,7
4,2,leve,16
4,2,moderado,6
4,3,leve,12
4,3,moderado,4
4,4,leve,10
4,4,moderado,3
4,5,leve,8
4,5,moderado,3
4,6,leve,8
4,6,moderado,3
4,7,leve,6
4,7,moderado,2
5,1,leve,23
5,1,moderado,8
5,2,leve,18
5,2,moderado,6
5,3,leve,14
5,3,moderado,5
5,4,leve,11
5,4,moderado,4
5,5,leve,9
5,5,moderado,3
5,6,leve,9
5,6,moderado,3
5,7,leve,7
5,7,moderado,3
6,1,leve,309
6,1,moderado,109
6,2,leve,247
6,2,moderado,87
6,3,leve,186
6,3,moderado,65
6,4,leve,148
6,4,moderado,52
6,5,leve,124
6,5,moderado,44
6,6,leve,124
6,6,moderado,43
6,7,leve,99
6,7,moderado,35
