id,rbd,nombre,comuna,lat,lon,matricula,cap_j,f_j,o_j,req_j
1,14523,LIONS SCHOOL,Cartagena,-33.549931,-71.581299,1306,784,220,25,3
2,2065,ESCUELA PRESIDENTE AGUIRRE CERDA,Cartagena,-33.548481,-71.595627,805,483,180,20,2
3,1354,LICEO BICENTENARIO POLIVALENTE FERNANDO SILVA CASTELLÓN,Catemu,-32.775108,-70.96447,454,272,180,20,2
4,1361,COLEGIO PARTICULAR CALIFORNIA,Catemu,-32.779339,-70.962486,440,264,180,20,2
5,14866,COLEGIO ALTAZOR,Concon,-32.924099,-71.519539,1141,685,180,20,2
6,14605,COLEGIO VILLA ACONCAGUA,Concon,-32.935699,-71.530746,1060,636,180,20,2
7,1450,COLEGIO SANTA ISABEL,Nogales,-32.718491,-71.204277,769,461,180,20,2
8,1445,COLEGIO EL MELÓN,Nogales,-32.691189,-71.212486,627,376,180,20,2
9,1858,COLEGIO DON ORIONE,Quintero,-32.78648,-71.533737,1264,758,220,25,3
10,1860,COLEGIO INGLES,Quintero,-32.783138,-71.531143,1008,605,180,20,2
11,1735,LICEO PARROQUIAL SAN ANTONIO,Vina del Mar,-33.013119,-71.542717,1772,1063,250,30,4
12,1839,COLEGIO ALEMAN DE VALPARAISO,Vina del Mar,-33.036098,-71.52785,1371,823,220,25,3
