i,j,minutos
1,1,6
1,2,3
1,3,336
1,4,335
1,5,224
1,6,219
1,7,319
1,8,328
1,9,273
1,10,274
1,11,191
1,12,183
2,1,337
2,2,339
2,3,2
2,4,3
2,5,178
2,6,183
2,7,77
2,8,82
2,9,174
2,10,173
2,11,197
2,12,196
3,1,223
3,2,223
3,3,178
3,4,178
3,5,4
3,6,3
3,7,124
3,8,128
3,9,53
3,10,54
3,11,29
3,12,37
4,1,321
4,2,322
4,3,77
4,4,78
4,5,121
4,6,126
4,7,2
4,8,9
4,9,102
4,10,101
4,11,148
4,12,151
5,1,276
5,2,276
5,3,172
5,4,172
5,5,50
5,6,54
5,7,102
5,8,102
5,9,1
5,10,1
5,11,82
5,12,91
6,1,193
6,2,193
6,3,193
6,4,192
6,5,34
6,6,29
6,7,146
6,8,152
6,9,83
6,10,84
6,11,3
6,12,7
