id,nombre,comuna,tipo,lat,lon,cap_j,f_j,o_j,req_j
1,COLEGIO ALTAZOR,CONCÓN,colegio,-32.924099,-71.519539,1159,52155000,6490400,7
2,COLEGIO VILLA ACONCAGUA,CONCÓN,colegio,-32.935699,-71.530746,1084,48780000,6070400,7
3,COLEGIO ACONCAGUA,QUILPUÉ,colegio,-33.04055,-71.475838,2272,102240000,12723200,14
4,COLEGIO LOS REYES,QUILPUÉ,colegio,-33.046711,-71.415283,2042,91890000,11435200,13
5,COLEGIO SALESIANO VALPARAISO,VALPARAÍSO,colegio,-33.04969,-71.601662,1577,70965000,8831200,10
6,LICEO EDUARDO DE LA BARRA,VALPARAÍSO,colegio,-33.049671,-71.613792,1285,57825000,7196000,8
7,COLEGIO NACIONAL,VILLA ALEMANA,colegio,-33.045071,-71.38047,1780,80100000,9968000,11
8,COLEGIO HISPANO,VILLA ALEMANA,colegio,-33.043304,-71.368668,1710,76950000,9576000,11
9,LICEO PARROQUIAL SAN ANTONIO,VIÑA DEL MAR,colegio,-33.013119,-71.542717,1745,78525000,9772000,11
10,COLEGIO ALEMAN DE VALPARAISO,VIÑA DEL MAR,colegio,-33.036098,-71.52785,1373,61785000,7688800,9
11,Estadio Sausalito,Viña del Mar,estadio,-33.0204,-71.5378,18002,348038667,37204133,37
12,Gimnasio Polideportivo de Viña del Mar,Viña del Mar,estadio,-33.0158,-71.5353,3371,65172667,6966733,7
13,Estadio Elías Figueroa Brander,Valparaíso,estadio,-33.022,-71.64,20575,397783333,42521667,42
14,Complejo Deportivo Bernardo O'Higgins,Valparaíso,estadio,-33.058611,-71.595,4000,77333333,8266667,8
15,Estadio Municipal Ítalo Composto Scarpatti,Villa Alemana,estadio,-33.0336,-71.3719,3500,67666667,7233333,7
16,Estadio Atlético Municipal de Concón,Concón,estadio,-33.0333,-71.4167,3000,58000000,6200000,6
17,Gimnasio Municipal Quilpué,Quilpué,estadio,-33.04,-71.43,1400,27066667,2893333,3
18,Estadio Municipal Arturo Longton Guerrero,Quilpué,estadio,-33.058056,-71.458333,1500,29000000,3100000,3
