i,j,minutos
1,1,4
1,2,3
1,3,41
1,4,52
1,5,48
1,6,50
1,7,59
1,8,61
1,9,29
1,10,37
1,11,32
1,12,30
1,13,48
1,14,50
1,15,58
1,16,48
1,17,47
1,18,49
2,1,52
2,2,50
2,3,13
2,4,6
2,5,51
2,6,54
2,7,16
2,8,20
2,9,35
2,10,29
2,11,33
2,12,33
2,13,63
2,14,49
2,15,19
2,16,8
2,17,3
2,18,8
3,1,55
3,2,49
3,3,41
3,4,59
3,5,3
3,6,3
3,7,69
3,8,73
3,9,25
3,10,26
3,11,25
3,12,27
3,13,15
3,14,4
3,15,72
3,16,59
3,17,54
3,18,46
4,1,62
4,2,62
4,3,30
4,4,12
4,5,68
4,6,72
4,7,2
4,8,3
4,9,52
4,10,46
4,11,50
4,12,49
4,13,80
4,14,66
4,15,5
4,16,13
4,17,17
4,18,25
5,1,34
5,2,29
5,3,19
5,4,37
5,5,24
5,6,27
5,7,47
5,8,50
5,9,4
5,10,7
5,11,2
5,12,1
5,13,33
5,14,24
5,15,49
5,16,35
5,17,32
5,18,27
