i,k,minutos
1,1,79
1,2,77
1,3,76
1,4,78
1,5,117
1,6,135
1,7,118
1,8,136
1,9,120
1,10,153
1,11,130
1,12,130
1,13,131
1,14,130
1,15,127
1,16,136
1,17,181
1,18,140
1,19,182
1,20,146
1,21,216
1,22,373
1,23,287
1,24,378
1,25,252
1,26,256
1,27,218
1,28,366
1,29,394
1,30,357
1,31,386
1,32,462
2,1,448
2,2,447
2,3,445
2,4,335
2,5,275
2,6,250
2,7,277
2,8,249
2,9,276
2,10,236
2,11,259
2,12,258
2,13,256
2,14,260
2,15,275
2,16,254
2,17,214
2,18,250
2,19,211
2,20,244
2,21,172
2,22,207
2,23,153
2,24,204
2,25,137
2,26,134
2,27,188
2,28,160
2,29,128
2,30,51
2,31,1
2,32,77
3,1,313
3,2,312
3,3,310
3,4,200
3,5,152
3,6,118
3,7,156
3,8,117
3,9,155
3,10,101
3,11,135
3,12,134
3,13,132
3,14,137
3,15,158
3,16,132
3,17,78
3,18,128
3,19,75
3,20,123
3,21,37
3,22,182
3,23,77
3,24,183
3,25,2
3,26,5
3,27,100
3,28,150
3,29,158
3,30,123
3,31,136
3,32,210
4,1,400
4,2,399
4,3,398
4,4,293
4,5,305
4,6,259
4,7,311
4,8,259
4,9,310
4,10,235
4,11,289
4,12,288
4,13,285
4,14,292
4,15,318
4,16,290
4,17,206
4,18,287
4,19,207
4,20,283
4,21,197
4,22,6
4,23,105
4,24,12
4,25,182
4,26,176
4,27,281
4,28,50
4,29,92
4,30,241
4,31,209
4,32,240
5,1,17
5,2,16
5,3,14
5,4,98
5,5,175
5,6,183
5,7,177
5,8,184
5,9,179
5,10,195
5,11,185
5,12,186
5,13,186
5,14,186
5,15,188
5,16,192
5,17,219
5,18,196
5,19,222
5,20,202
5,21,259
5,22,391
5,23,318
5,24,396
5,25,295
5,26,298
5,27,275
5,28,391
5,29,425
5,30,408
5,31,432
5,32,507
6,1,113
6,2,112
6,3,110
6,4,3
6,5,109
6,6,97
6,7,114
6,8,98
6,9,116
6,10,103
6,11,112
6,12,112
6,13,112
6,14,114
6,15,128
6,16,119
6,17,124
6,18,123
6,19,127
6,20,127
6,21,166
6,22,299
6,23,221
6,24,303
6,25,200
6,26,203
6,27,198
6,28,296
6,29,328
6,30,318
6,31,338
6,32,412
7,1,354
7,2,353
7,3,351
7,4,239
7,5,217
7,6,176
7,7,222
7,8,176
7,9,221
7,10,154
7,11,200
7,12,199
7,13,197
7,14,202
7,15,226
7,16,199
7,17,125
7,18,195
7,19,124
7,20,190
7,21,99
7,22,110
7,23,25
7,24,111
7,25,76
7,26,69
7,27,174
7,28,75
7,29,90
7,30,144
7,31,129
7,32,188
8,1,237
8,2,236
8,3,234
8,4,141
8,5,49
8,6,50
8,7,50
8,8,49
8,9,48
8,10,63
8,11,35
8,12,35
8,13,34
8,14,35
8,15,48
8,16,29
8,17,80
8,18,24
8,19,77
8,20,18
8,21,82
8,22,280
8,23,175
8,24,283
8,25,109
8,26,115
8,27,56
8,28,255
8,29,268
8,30,194
8,31,228
8,32,305
9,1,69
9,2,68
9,3,67
9,4,89
9,5,130
9,6,150
9,7,131
9,8,151
9,9,133
9,10,167
9,11,144
9,12,144
9,13,145
9,14,144
9,15,140
9,16,150
9,17,195
9,18,154
9,19,196
9,20,160
9,21,231
9,22,386
9,23,301
9,24,390
9,25,266
9,26,270
9,27,232
9,28,379
9,29,408
9,30,371
9,31,400
9,32,476
10,1,42
10,2,40
10,3,39
10,4,88
10,5,151
10,6,164
10,7,153
10,8,165
10,9,155
10,10,179
10,11,163
10,12,163
10,13,164
10,14,163
10,15,163
10,16,169
10,17,204
10,18,174
10,19,206
10,20,180
10,21,243
10,22,386
10,23,307
10,24,391
10,25,278
10,26,282
10,27,252
10,28,383
10,29,414
10,30,388
10,31,414
10,32,490
11,1,316
11,2,315
11,3,313
11,4,202
11,5,163
11,6,125
11,7,167
11,8,125
11,9,166
11,10,106
11,11,145
11,12,145
11,13,142
11,14,148
11,15,170
11,16,144
11,17,80
11,18,140
11,19,78
11,20,135
11,21,44
11,22,165
11,23,59
11,24,166
11,25,19
11,26,13
11,27,118
11,28,133
11,29,145
11,30,130
11,31,137
11,32,209
12,1,293
12,2,292
12,3,290
12,4,180
12,5,134
12,6,98
12,7,138
12,8,98
12,9,137
12,10,81
12,11,117
12,12,116
12,13,114
12,14,119
12,15,141
12,16,115
12,17,59
12,18,111
12,19,56
12,20,106
12,21,17
12,22,190
12,23,83
12,24,192
