EstablecimientoCodigoAntiguo,EstablecimientoCodigo,EstablecimientoCodigoMadreAntiguo,EstablecimientoCodigoMadreNuevo,RegionCodigo,RegionGlosa,SeremiSaludCodigo_ServicioDeSaludCodigo,SeremiSaludGlosa_ServicioDeSaludGlosa,TipoPertenenciaEstabGlosa,TipoEstablecimientoGlosa,AmbitoFuncionamiento,EstablecimientoGlosa,Certificacion,DependenciaAdministrativa,NivelAtencionEstabglosa,ComunaCodigo,ComunaGlosa,TipoViaGlosa,Numero,NombreVia,TelefonoMovil_TelefonoFijo,FechaInicioFuncionamientoEstab,TieneServicioUrgencia,TipoUrgencia,ClasificacionTipoSapu,Latitud,Longitud,TipoSistemaSaludGlosa,EstadoFuncionamiento,NivelComplejidadEstabGlosa,TipoAtencionEstabGlosa,FechaIncorporacion,FechaCierre,F_REAPER,F_CAMBIO,TIPO_CAMB,COORD_X,COORD_Y,alias,tipo_estrategia,observacion,nombre_comun,Camas2023,Altitud_m
06-103,106103,,,05,Valparaíso,06,Servicio de Salud Valparaíso San Antonio,Perteneciente al Sistema Nacional de Servicios de Salud,Hospital,Establecimiento de Salud,Hospital Claudio Vicuña (San Antonio),Autogestionado en Red (EAR),Servicio de Salud,Terciario,05601,San Antonio,Calle,945,Carmen Guerrero,322212244,01-01-1925,SI,Urgencia Hospitalaria (UEH),No Aplica,-33.588809,-71.608623,Público,Vigente en Operación Habitual,Alta Complejidad,Atención Cerrada-Hospitalaria,,,,,,,,,,,,164.0,55.0
06-204,106204,,,05,Valparaíso,05,SEREMI de Salud de Valparaíso,No Perteneciente al Sistema Nacional de Servicios de Salud,Clínica,Establecimiento de Salud,Clínica San Julián,No Aplica,Privado,Terciario,05601,San Antonio,Calle,460,21 de Mayo,352587951,01-01-2009,SI,Urgencia Hospitalaria (UEH),No Aplica,-33.584329,-71.611996,Privado,Vigente en Operación Habitual,Baja Complejidad,Atención Cerrada-Hospitalaria,,,,,,,,,,,,13.0,19.0
06-205,106205,,,05,Valparaíso,05,SEREMI de Salud de Valparaíso,No Perteneciente al Sistema Nacional de Servicios de Salud,Clínica,Establecimiento de Salud,Clínica San Antonio,No Aplica,Privado,No Aplica,05601,San Antonio,Calle,163,Lauro Barros,352213686,01-01-2009,NO,No Aplica,No Aplica,-33.58032,-71.608864,Privado,Vigente en Operación Habitual,Baja Complejidad,Atención Cerrada-Hospitalaria,,,,,,,,,,,,28.0,15.0
06-105,106105,,,05,Valparaíso,06,Servicio de Salud Valparaíso San Antonio,Perteneciente al Sistema Nacional de Servicios de Salud,Hospital,Establecimiento de Salud,Hospital San José (Casablanca),No Aplica,Servicio de Salud,,05102,Casablanca,Calle,124,Yungay,322577100,,SI,Urgencia Hospitalaria (UEH),No Aplica,-33.3144575,-71.4155514,Público,Vigente en Operación Habitual,Baja Complejidad,Atención Cerrada-Hospitalaria,,,,,,,,,,,,6.0,258.0
06-102,106102,,,05,Valparaíso,06,Servicio de Salud Valparaíso San Antonio,Perteneciente al Sistema Nacional de Servicios de Salud,Hospital,Establecimiento de Salud,Hospital Dr. Eduardo Pereira Ramírez (Valparaíso),Autogestionado en Red (EAR),Servicio de Salud,Terciario,05101,Valparaíso,Calle,,Ibsen,322577310,,NO,No Aplica,No Aplica,-33.05679,-71.58962,Público,Vigente en Operación Habitual,Alta Complejidad,Atención Cerrada-Hospitalaria,,,No Aplica,No Aplica,Sin cambio,258209.993225,6339435.52565,,,,,155.0,175.0
07-102,107102,,,05,Valparaíso,07,Servicio de Salud Viña del Mar Quillota,Perteneciente al Sistema Nacional de Servicios de Salud,Hospital,Establecimiento de Salud,Hospital de Quilpué,Autogestionado en Red (EAR),Servicio de Salud,Terciario,05801,Quilpué,Calle,1270,San Martín,322759010,,SI,Urgencia Hospitalaria (UEH),No Aplica,-33.051961,-71.433933,Público,Vigente en Operación Habitual,Alta Complejidad,Atención Cerrada-Hospitalaria,,,,,,,,,,,,146.0,139.0
06-100,106100,,,05,Valparaíso,06,Servicio de Salud Valparaíso San Antonio,Perteneciente al Sistema Nacional de Servicios de Salud,Hospital,Establecimiento de Salud,Hospital Carlos Van Buren (Valparaíso),Autogestionado en Red (EAR),Servicio de Salud,Terciario,05101,Valparaíso,Calle,725,San Ignacio,322204000,,SI,Urgencia Hospitalaria (UEH),No Aplica,-33.050258,-71.611098,Público,Vigente en Operación Habitual,Alta Complejidad,Atención Cerrada-Hospitalaria,,,No Aplica,No Aplica,Sin cambio,256186.032037,6340110.28324,,,,,363.0,19.0
07-208,107208,,,05,Valparaíso,05,SEREMI de Salud de Valparaíso,No Perteneciente al Sistema Nacional de Servicios de Salud,Clínica,Establecimiento de Salud,Clínica Los Carrera,No Aplica,Privado,Terciario,05801,Quilpué,Calle,958,Caupolicán,322539800,01-01-2009,SI,Urgencia Hospitalaria (UEH),No Aplica,-33.048513,-71.436021,Privado,Vigente en Operación Habitual,,Atención Cerrada-Hospitalaria,,,,,,,,,,,,76.0,114.0
06-214,106214,,,05,Valparaíso,05,SEREMI de Salud de Valparaíso,No Perteneciente al Sistema Nacional de Servicios de Salud,Clínica,Establecimiento de Salud,Clínica Valparaíso,No Aplica,Privado,Terciario,05101,Valparaíso,Avenida,2350,Brasil,322268100,01-01-2009,SI,Urgencia Hospitalaria (UEH),No Aplica,-33.045228,-71.611095,Privado,Vigente en Operación Habitual,Alta Complejidad,Atención Cerrada-Hospitalaria,,,No Aplica,No Aplica,Sin cambio,256172.438298,6340668.1572,,,,,63.0,9.0
07-109,107109,,,05,Valparaíso,07,Servicio de Salud Viña del Mar Quillota,Perteneciente al Sistema Nacional de Servicios de Salud,Hospital,Establecimiento de Salud,"Hospital Juana Ross de Edwards (Peñablanca, Villa Alemana)",No Aplica,Servicio de Salud,,05804,Villa Alemana,Calle,660,Sargento Aldea,322759542,,SI,Urgencia Hospitalaria (UEH),No Aplica,-33.03779,-71.35684,Público,Vigente en Operación Habitual,Baja Complejidad,Atención Cerrada-Hospitalaria,,,,,,,,,,,,81.0,158.0
