i,j,t,g,a_ijtg
1,82,3,leve,22.0
1,82,3,moderado,11.0
1,82,4,leve,31.0
1,82,4,moderado,11.0
1,82,5,leve,13.0
1,82,5,moderado,11.0
1,82,6,leve,25.5
1,82,6,moderado,7.0
1,82,7,leve,31.0
1,82,7,moderado,3.0
2,4,4,leve,37.0
2,4,4,moderado,13.0
2,4,5,leve,37.0
2,4,5,moderado,13.0
2,4,6,leve,37.0
2,4,6,moderado,13.0
2,4,7,leve,36.0
2,4,7,moderado,13.0
3,5,4,leve,30.0
3,5,4,moderado,11.0
3,5,5,leve,30.0
3,5,5,moderado,4.0
3,5,6,leve,30.0
3,5,6,moderado,4.0
3,5,7,leve,30.0
3,5,7,moderado,3.0
3,24,3,moderado,9.0
3,24,4,moderado,11.0
3,24,7,leve,1.0
4,7,3,moderado,9.0
4,7,4,moderado,9.0
4,7,5,moderado,4.0
4,7,6,leve,24.0
4,7,7,leve,24.0
4,7,7,moderado,3.0
4,51,4,moderado,7.0
4,56,6,leve,24.0
4,56,6,moderado,3.0
4,56,7,leve,23.5
5,81,2,moderado,7.0
5,81,3,moderado,7.0
5,81,4,leve,9.0
5,81,4,moderado,7.0
5,81,5,leve,20.0
5,81,5,moderado,3.0
5,81,6,leve,20.0
5,81,6,moderado,3.0
5,81,7,moderado,2.0
6,80,4,leve,35.0
6,80,4,moderado,12.0
6,80,5,leve,35.0
6,80,5,moderado,12.0
6,80,6,leve,35.0
6,80,6,moderado,12.0
6,80,7,leve,35.0
6,80,7,moderado,12.0
7,13,3,leve,21.0
7,13,3,moderado,7.0
7,13,4,leve,21.0
7,13,4,moderado,7.0
7,13,5,leve,21.0
7,13,5,moderado,7.0
7,13,6,leve,12.0
7,13,6,moderado,6.0
8,67,4,moderado,15.0
8,67,5,leve,42.0
8,67,5,moderado,6.0
8,67,6,leve,42.0
8,67,6,moderado,6.0
8,67,7,leve,42.0
8,67,7,moderado,4.0
8,72,2,moderado,13.0
8,72,3,moderado,15.0
9,82,3,leve,18.0
