i,k,t,w_iktgrave
1,1,1,4.0
1,1,2,4.0
1,1,3,3.0
1,1,4,2.0
1,1,5,1.0
1,4,5,1.0
1,4,6,2.0
1,4,7,1.0
2,31,1,6.0
2,31,2,4.0
2,31,3,3.0
2,31,4,3.0
2,31,5,2.0
2,31,6,2.0
2,31,7,2.0
3,25,1,4.0
3,25,2,4.0
3,25,3,3.0
3,25,4,2.0
3,25,5,2.0
3,25,6,2.0
3,25,7,1.0
4,22,1,4.0
4,22,2,3.0
4,22,3,2.0
4,22,4,2.0
4,22,5,2.0
4,22,6,1.0
4,22,7,1.0
5,1,1,3.0
5,1,2,2.0
5,1,3,2.0
5,1,4,2.0
5,1,5,1.0
5,1,6,1.0
5,1,7,1.0
6,4,1,1.0
6,4,2,2.0
6,4,3,2.0
6,4,4,3.0
6,4,5,2.0
6,4,6,2.0
6,4,7,2.0
6,6,1,4.0
6,6,2,2.0
6,6,3,1.0
7,23,1,3.0
7,23,2,2.0
7,23,3,2.0
7,23,4,2.0
7,23,5,1.0
7,23,6,1.0
7,23,7,1.0
8,20,1,6.0
8,20,2,5.0
8,20,3,4.0
8,20,4,3.0
8,20,5,3.0
8,20,6,2.0
8,20,7,2.0
9,1,1,4.0
9,1,2,3.0
9,1,3,2.0
9,1,4,2.0
9,1,5,2.0
9,1,6,2.0
9,1,7,1.0
10,1,1,3.0
10,1,2,3.0
10,1,3,2.0
10,1,4,2.0
10,1,5,1.0
10,1,6,1.0
10,1,7,1.0
11,26,1,4.0
11,26,2,3.0
11,26,3,3.0
11,26,4,2.0
11,26,5,2.0
11,26,6,2.0
11,26,7,1.0
12,21,1,6.0
12,21,2,4.0
12,21,3,3.0
12,21,4,3.0
12,21,5,2.0
12,21,6,2.0
12,21,7,2.0
13,30,1,6.0
13,30,2,5.0
13,30,3,4.0
13,30,4,3.0
13,30,5,3.0
13,30,6,3.0
13,30,7,2.0
14,17,1,11.0
14,17,2,9.0
14,17,3,7.0
14,17,4,5.0
14,17,5,5.0
14,17,6,5.0
14,17,7,4.0
15,23,1,6.0
15,23,2,5.0
15,23,3,3.0
15,23,4,3.0
15,23,5,2.0
15,23,6,2.0
15,23,7,2.0
16,24,1,16.0
16,24,2,13.0
16,24,3,10.0
16,24,4,8.0
16,24,5,6.0
16,24,6,6.0
16,24,7,5.0
17,25,1,5.0
17,25,2,4.0
17,25,3,3.0
17,25,4,2.0
17,25,6,2.0
17,25,7,1.0
17,26,5,2.0
18,17,1,4.0
18,17,2,3.0
18,17,3,3.0
18,17,4,2.0
18,17,5,2.0
18,17,6,2.0
18,17,7,1.0
19,28,1,2.0
19,28,2,1.0
19,28,3,1.0
19,28,4,1.0
19,28,5,1.0
19,28,6,1.0
20,30,1,1.0
20,30,2,1.0
20,30,3,1.0
20,30,4,1.0
20,30,5,1.0
21,32,1,3.0
21,32,2,2.0
21,32,3,2.0
21,32,4,1.0
21,32,5,1.0
21,32,6,1.0
21,32,7,1.0
22,25,1,4.0
22,25,2,4.0
22,25,3,3.0
22,25,4,2.0
22,25,5,2.0
22,25,6,2.0
22,25,7,1.0
23,29,1,3.0
23,29,2,2.0
23,29,3,2.0
23,29,4,1.0
23,29,5,1.0
23,29,6,1.0
23,29,7,1.0
24,21,1,22.0
24,21,2,18.0
24,21,3,13.0
24,21,4,10.0
24,21,5,9.0
24,21,6,9.0
24,21,7,7.0
25,6,1,39.0
25,6,2,31.0
25,6,3,23.0
25,6,5,15.0
25,6,7,12.0
25,8,4,19.0
25,8,6,15.0
26,20,1,6.0
26,20,2,4.0
26,20,3,3.0
26,20,4,3.0
26,20,5,2.0
26,20,6,2.0
26,20,7,2.0
27,22,1,3.0
27,22,2,2.0
27,22,3,2.0
27,22,4,1.0
27,22,5,1.0
27,22,6,1.0
27,22,7,1.0
28,1,1,21.0
28,1,2,17.0
28,1,3,13.0
28,1,4,10.0
28,1,5,9.0
28,1,6,8.0
28,1,7,7.0
29,24,1,4.0
29,24,2,4.0
29,24,3,3.0
29,24,4,2.0
29,24,5,2.0
29,24,6,2.0
29,24,7,1.0
30,28,1,19.0
30,28,2,15.0
30,28,3,11.0
30,28,4,9.0
30,28,5,8.0
30,28,6,8.0
30,28,7,6.0
31,28,1,4.0
31,28,2,3.0
31,28,3,2.0
31,28,4,2.0
31,28,5,1.0
31,28,6,1.0
31,28,7,1.0
32,1,1,1.0
32,1,2,1.0
32,1,3,1.0
32,1,4,1.0
32,1,5,1.0
32,1,6,1.0
33,5,1,64.0
33,5,2,51.0
33,7,3,38.0
33,7,4,31.0
33,7,5,26.0
33,7,6,26.0
33,7,7,20.0
34,8,1,5.0
34,10,1,24.0
34,10,2,24.0
34,10,3,18.0
34,10,4,14.0
34,10,5,12.0
34,10,6,12.0
34,10,7,9.0
35,11,3,45.0
35,11,4,36.0
35,11,5,30.0
35,11,6,30.0
35,11,7,24.0
35,18,1,76.0
35,18,2,60.0
36,30,1,2.0
36,30,2,1.0
36,30,3,1.0
36,30,4,1.0
36,30,5,1.0
36,30,6,1.0
