i,t,g,s_itg
1,1,leve,31.0
1,1,moderado,11.0
1,1,grave,0.0
1,2,leve,56.0
1,2,moderado,10.0
1,2,grave,0.0
1,3,leve,74.0
1,3,moderado,6.0
1,3,grave,0.0
1,4,leve,58.0
1,4,moderado,0.0
1,4,grave,0.0
1,5,leve,39.5
1,5,moderado,0.0
1,5,grave,0.0
1,6,leve,21.0
1,6,moderado,0.0
1,6,grave,0.0
1,7,leve,0.0
1,7,moderado,0.0
1,7,grave,0.0
2,1,leve,37.0
2,1,moderado,13.0
2,1,grave,0.0
2,2,leve,66.0
2,2,moderado,24.0
2,2,grave,0.0
2,3,leve,88.0
2,3,moderado,32.0
2,3,grave,0.0
2,4,leve,59.0
2,4,moderado,12.0
2,4,grave,0.0
2,5,leve,0.0
2,5,moderado,0.0
2,5,grave,0.0
2,6,leve,0.0
2,6,moderado,0.0
2,6,grave,0.0
2,7,leve,0.0
2,7,moderado,0.0
2,7,grave,0.0
3,1,leve,30.0
3,1,moderado,11.0
3,1,grave,0.0
3,2,leve,54.0
3,2,moderado,20.0
3,2,grave,0.0
3,3,leve,72.0
3,3,moderado,0.0
3,3,grave,0.0
3,4,leve,57.0
3,4,moderado,0.0
3,4,grave,0.0
3,5,leve,18.0
3,5,moderado,0.0
3,5,grave,0.0
3,6,leve,0.0
3,6,moderado,0.0
3,6,grave,0.0
3,7,leve,0.0
3,7,moderado,0.0
3,7,grave,0.0
4,1,leve,24.0
4,1,moderado,9.0
4,1,grave,0.0
4,2,leve,44.0
4,2,moderado,7.0
4,2,grave,0.0
4,3,leve,59.0
4,3,moderado,3.0
4,3,grave,0.0
4,4,leve,47.0
4,4,moderado,0.0
4,4,grave,0.0
4,5,leve,9.0
4,5,moderado,0.0
4,5,grave,0.0
4,6,leve,16.0
4,6,moderado,0.0
4,6,grave,0.0
4,7,leve,0.0
4,7,moderado,0.0
4,7,grave,0.0
5,1,leve,20.0
5,1,moderado,7.0
5,1,grave,0.0
5,2,leve,36.0
5,2,moderado,6.0
5,2,grave,0.0
5,3,leve,48.0
5,3,moderado,3.0
5,3,grave,0.0
5,4,leve,58.0
5,4,moderado,0.0
5,4,grave,0.0
5,5,leve,26.0
5,5,moderado,0.0
5,5,grave,0.0
5,6,leve,14.0
5,6,moderado,0.0
5,6,grave,0.0
5,7,leve,0.0
5,7,moderado,0.0
5,7,grave,0.0
6,1,leve,35.0
6,1,moderado,12.0
6,1,grave,0.0
6,2,leve,63.0
6,2,moderado,22.0
6,2,grave,0.0
6,3,leve,84.0
6,3,moderado,30.0
6,3,grave,0.0
6,4,leve,66.0
6,4,moderado,24.0
6,4,grave,0.0
6,5,leve,45.0
6,5,moderado,17.0
6,5,grave,0.0
6,6,leve,24.0
6,6,moderado,10.0
6,6,grave,0.0
6,7,leve,1.0
6,7,moderado,2.0
6,7,grave,0.0
7,1,leve,21.0
7,1,moderado,7.0
7,1,grave,0.0
7,2,leve,37.0
7,2,moderado,13.0
7,2,grave,0.0
7,3,leve,49.0
7,3,moderado,3.0
7,3,grave,0.0
7,4,leve,58.5
7,4,moderado,0.0
7,4,grave,0.0
7,5,leve,24.5
7,5,moderado,0.0
7,5,grave,0.0
7,6,leve,11.5
7,6,moderado,0.0
7,6,grave,0.0
7,7,leve,0.0
7,7,moderado,0.0
7,7,grave,0.0
8,1,leve,42.0
8,1,moderado,9.0
8,1,grave,0.0
8,2,leve,76.0
8,2,moderado,6.0
8,2,grave,0.0
8,3,leve,101.0
8,3,moderado,0.0
8,3,grave,0.0
8,4,leve,93.0
8,4,moderado,0.0
8,4,grave,0.0
8,5,leve,93.0
8,5,moderado,0.0
8,5,grave,0.0
8,6,leve,26.0
8,6,moderado,0.0
8,6,grave,0.0
8,7,leve,0.0
8,7,moderado,0.0
8,7,grave,0.0
9,1,leve,27.0
9,1,moderado,9.0
9,1,grave,0.0
9,2,leve,48.0
9,2,moderado,8.0
9,2,grave,0.0
9,3,leve,64.0
9,3,moderado,5.0
9,3,grave,0.0
9,4,leve,50.0
9,4,moderado,0.0
9,4,grave,0.0
9,5,leve,34.0
9,5,moderado,0.0
9,5,grave,0.0
9,6,leve,18.0
9,6,moderado,0.0
9,6,grave,0.0
9,7,leve,0.0
9,7,moderado,0.0
