id,nombre,lat,lon,poblacion
1,ALGARROBO,-33.374309,-71.665198,20542
2,CABILDO,-32.429307,-71.072091,24542
3,CALERA,-32.789243,-71.200519,20112
4,CALLE LARGA,-32.860201,-70.608662,16597
5,CARTAGENA,-33.541781,-71.597082,13542
6,CASABLANCA,-33.321017,-71.412684,23542
7,CATEMU,-32.772612,-70.956337,13760
8,CONCON,-32.933747,-71.52238,28035
9,EL QUISCO,-33.408383,-71.690086,18035
10,EL TABO,-33.474294,-71.638341,14035
11,HIJUELAS,-32.80335,-71.143242,19286
12,LA CRUZ,-32.838984,-71.2298,24939
13,LA LIGUA,-32.450291,-71.240895,29055
14,LIMACHE,-32.995892,-71.265192,51542
15,LLAILLAY,-32.83967,-70.952923,25484
16,LOS ANDES,-32.833329,-70.600852,71176
17,NOGALES,-32.71413,-71.206857,21542
18,OLMUE,-32.996742,-71.179499,18542
19,PANQUEHUE,-32.762626,-70.791906,7269
20,PAPUDO,-32.508318,-71.444337,5443
21,PETORCA,-32.251343,-70.930958,12134
22,PUCHUNCAVI,-32.718913,-71.451352,19542
23,PUTAENDO,-32.635317,-70.718846,12542
24,QUILLOTA,-32.882284,-71.248164,98063
25,QUILPUE,-33.04888,-71.43359,170667
26,QUINTERO,-32.784477,-71.530172,24683
27,RINCONADA,-32.842289,-70.687976,11855
28,SAN ANTONIO,-33.602039,-71.607775,94153
29,SAN ESTEBAN,-32.798818,-70.575819,20112
30,SAN FELIPE,-32.750105,-70.718898,84094
31,SANTA MARIA,-32.748086,-70.654939,15134
32,SANTO DOMINGO,-33.642337,-71.613845,6542
33,VALPARAISO,-33.055803,-71.609282,284480
34,VILLA ALEMANA,-33.047749,-71.37603,130605
35,VINA DEL MAR,-33.01732,-71.531518,334248
36,ZAPALLAR,-32.558274,-71.454835,7843
