i,j,t,g,a_ijtg
1,20,2,moderado,3.0
1,20,3,moderado,11.0
1,20,4,moderado,11.0
1,20,5,moderado,11.0
1,20,6,moderado,4.0
1,20,7,moderado,3.0
2,4,5,leve,37.0
2,4,5,moderado,13.0
2,4,6,leve,37.0
2,4,6,moderado,13.0
2,4,7,leve,37.0
2,4,7,moderado,13.0
3,6,5,moderado,11.0
3,6,6,leve,30.0
3,6,6,moderado,4.0
3,6,7,moderado,3.0
3,22,2,moderado,11.0
3,22,3,moderado,10.0
3,75,4,moderado,3.0
4,60,2,moderado,9.0
4,60,3,moderado,7.0
4,60,4,moderado,9.0
4,60,5,leve,24.0
4,60,5,moderado,4.0
4,60,6,leve,24.0
4,60,6,moderado,3.0
4,60,7,moderado,3.0
5,20,4,moderado,7.0
5,20,5,moderado,4.0
5,20,6,moderado,3.0
5,62,5,leve,20.0
5,62,5,moderado,7.0
5,62,7,moderado,2.0
5,81,4,moderado,6.0
6,80,5,leve,35.0
6,80,5,moderado,12.0
6,80,6,leve,35.0
6,80,6,moderado,12.0
6,80,7,leve,35.0
6,80,7,moderado,12.0
7,13,5,leve,21.0
7,13,5,moderado,7.0
7,13,6,leve,21.0
7,13,6,moderado,6.0
7,13,7,leve,7.0
7,13,7,moderado,2.0
7,14,5,leve,21.0
7,14,5,moderado,7.0
7,14,6,leve,12.0
7,14,6,moderado,7.0
8,47,4,moderado,15.0
8,68,3,moderado,4.0
8,68,4,moderado,15.0
8,68,5,leve,7.5
8,68,5,moderado,15.0
8,68,6,moderado,6.0
8,68,7,moderado,4.0
9,20,2,moderado,4.0
9,20,3,moderado,9.0
9,20,4,moderado,9.0
9,20,5,leve,27.0
9,20,5,moderado,9.0
9,20,6,leve,27.0
9,20,6,moderado,4.0
9,20,7,moderado,3.0
10,20,4,moderado,4.0
10,20,5,leve,3.5
10,20,5,moderado,7.0
10,20,6,moderado,3.0
10,20,7,moderado,2.0
10,81,3,moderado,7.0
10,81,4,moderado,7.0
11,6,5,moderado,10.0
11,6,6,leve,14.0
11,6,6,moderado,4.0
11,22,1,moderado,10.0
11,22,2,moderado,8.0
11,22,3,moderado,5.0
11,75,7,moderado,4.0
12,6,5,leve,37.0
12,6,5,moderado,12.0
12,6,6,leve,37.0
12,6,6,moderado,5.0
12,6,7,moderado,4.0
12,22,1,moderado,13.0
12,22,2,moderado,6.0
12,22,3,moderado,13.0
12,75,6,leve,34.5
13,26,5,leve,44.0
13,26,5,moderado,15.0
13,26,6,leve,44.0
13,26,6,moderado,15.0
13,26,7,leve,44.0
13,26,7,moderado,15.0
14,75,4,moderado,19.2
14,75,5,leve,67.5
14,75,6,moderado,2.8
14,75,7,leve,77.0
14,76,5,moderado,11.0
14,76,6,moderado,8.2
14,76,7,moderado,9.0
14,85,1,moderado,3.0
14,85,2,moderado,1.8
14,85,3,moderado,27.0
14,85,4,moderado,27.0
15,13,5,leve,38.0
15,13,5,moderado,14.0
15,13,6,leve,27.0
15,13,6,moderado,8.0
15,13,7,leve,12.0
15,13,7,moderado,4.0
15,14,5,leve,38.0
15,14,5,moderado,14.0
15,14,6,leve,38.0
15,14,6,moderado,14.0
16,57,5,leve,107.0
16,57,5,moderado,36.0
16,57,6,leve,107.0
16,57,7,leve,28.5
16,57,7,moderado,8.8
16,60,1,moderado,37.0
16,60,2,moderado,8.0
